,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,Person_id
1859, uncomfortable bed could not breath from the chlorium smell in the pool no vegan options in breakfast,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,58
1860, The gym,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,59
1861, The tv Internet are extras you have to pay for which seems crazy ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,61
1862, Lovely hotel staff Suite was awesome ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,0.8927362912742771,False,62
1863, MOULD ON BATHROOM WALLS BATH ENAMEL DAMAGED GROUT MISSING ON BATHROOM FLOOR OULD SEE BARE CONCRETES SERVICE IN BAR POOR PORTION OF FISH POOR ON SUNDAY BETTER ON TUESDAY,7,7_hair_space_small_door,"['hair', 'space', 'small', 'door', 'bathroom bathroom', 'dirty', 'cracked', 'apart', 'dated', 'also']","[' big bathroom', ' The shower ', ' bathroom']",hair - space - small - door - bathroom bathroom - dirty - cracked - apart - dated - also,1.0,False,63
1864, CONCIERGE RECEPTION SERVICE EXCELLENT,3,3_reception_excellent_professional_welcoming,"['reception', 'excellent', 'professional', 'welcoming', 'staff staff friendly', 'always', 'services', 'friendly helpful', 'attentive', 'help']","[' staff ', ' staff', ' staff']",reception - excellent - professional - welcoming - staff staff friendly - always - services - friendly helpful - attentive - help,0.32287600499895314,False,64
1865, Unfortunately the hotel shows on Booking com as Occidental Athenea Mar on Paseo Garcia Faria HOWEVER the sat nav listed it as the Barcelona Athenea Mar on Passeig Garcia Faria so couldn t find it Very stressful when arriving in Barcelona for the first time by car after a very long drive ,2,2_beautiful_helpful_definitely_one,"['beautiful', 'helpful', 'definitely', 'one', 'metro', 'friendly staff', 'milan', 'amsterdam', 'service', 'hotels']","[' they even let us keep our luggage there once we checked out so we could spend our last remaining hours in Camden comfortably without carrying heavy luggage around Staff always greeted guests with a smile having a Starbucks downstairs really made the hotel wonderful I can t wait to visit again ', ' Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to ', ' The hotel the staff ']",beautiful - helpful - definitely - one - metro - friendly staff - milan - amsterdam - service - hotels,1.0,False,65
1866, Extremely comfy beds brilliant shower great breakfast all in all any excellent stay ,6,6_bed hard_staff_pillow_really,"['bed hard', 'staff', 'pillow', 'really', 'extra', 'comfortable beds', 'really comfy', 'amazing', 'bit', 'location']","[' bed', ' bed ', ' bed']",bed hard - staff - pillow - really - extra - comfortable beds - really comfy - amazing - bit - location,0.6380660472575997,False,66
1867, Nothing not to like,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,67
1868, Excellent location close to the Royal Albert Hall 1 2 mile Across the road is a NCP 38 24 hrs cheap in this part of town High Street Kensington tube 1 4 mile away Room perfect Staff very helpful ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,0.7427854898279301,False,68
1869, courteous Value for money ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,68
1870, The location is perfect room ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,1.0,False,69
1871, hotel very clean ,-1,-1_wifi_would_parking_expensive,"['wifi', 'would', 'parking', 'expensive', 'service', 'cleanliness', 'nice', 'paris', 'pool', 'facilities']","[' Location ', ' Location', ' Its location']",wifi - would - parking - expensive - service - cleanliness - nice - paris - pool - facilities,0.0,False,69
1872, super friendly staff The bed very comfortable ,6,6_bed hard_staff_pillow_really,"['bed hard', 'staff', 'pillow', 'really', 'extra', 'comfortable beds', 'really comfy', 'amazing', 'bit', 'location']","[' bed', ' bed ', ' bed']",bed hard - staff - pillow - really - extra - comfortable beds - really comfy - amazing - bit - location,0.5158542988870155,False,69
1873, the air conditioning from the room was like paradise in those hot days We would definitely go back ,12,12_air conditioning_windows_weather_conditioner,"['air conditioning', 'windows', 'weather', 'conditioner', 'noisy', 'con', 'bathroom', 'complained', 'days', 'also']","[' Air conditioning didn t work ', ' Air conditioning did not work ', ' The Air conditioning did not work in the room ']",air conditioning - windows - weather - conditioner - noisy - con - bathroom - complained - days - also,1.0,False,69
1874, Everything was great just felt like something was missing can t say what ,4,4_husb_clean_perfect_polite,"['husb', 'clean', 'perfect', 'polite', 'friendly everything', 'much', 'everything ard', 'honest', 'faults', 'wrong']","[' Everything', ' everything', ' Everything']",husb - clean - perfect - polite - friendly everything - much - everything ard - honest - faults - wrong,1.0,False,70
1875, Beautiful breakfast space Total tranquility ,0,0_food_buffet_location_great breakfast,"['food', 'buffet', 'location', 'great breakfast', 'lovely', 'included', 'tea coffee', 'would', 'breakfast staff', 'service']","[' Breakfast ', ' breakfast', ' Breakfast']",food - buffet - location - great breakfast - lovely - included - tea coffee - would - breakfast staff - service,1.0,False,71
1876, great vibes Received an upgrade for that i am thankful Great staff nobody was full of themselves something I see often Glad I stayed at this property I would come back but I would choose a bigger room with a better viewer i e some sort of suite ,1,1_size_double_upgrade_amazing,"['size', 'double', 'upgrade', 'amazing', 'lounge', 'bedroom', 'views', 'lighting', 'window', 'would']","[' small rooms', ' Room was small ', ' Room was very small ']",size - double - upgrade - amazing - lounge - bedroom - views - lighting - window - would,0.830947331089905,False,71
1877, Far away from metro station However the taxi in Milan is cheap ,11,11_metro_minute_central_milan,"['metro', 'minute', 'central', 'milan', 'walking', '10', 'earls', 'court tube', 'paddington station', 'close train']","[' tube station is 5 min walk ', ' Metro Station ', ' tube station']",metro - minute - central - milan - walking - 10 - earls - court tube - paddington station - close train,1.0,False,72
